135
x y z vx vy vz KE
1.643007 2.748940 1.649177 0.347806 1.192631 -1.079746 0.000000
1.659818 2.749641 2.750856 0.809905 -0.843297 -0.732875 0.000000
1.644907 2.759526 3.832907 0.767438 0.511203 0.796565 0.000000
1.641106 2.763289 4.947929 -0.456826 -0.648659 -0.763396 0.000000
1.656348 2.755040 6.039850 1.908385 0.941647 0.353976 0.000000
1.668849 2.757580 7.159267 0.050729 0.647161 1.071969 0.000000
1.654748 2.748716 8.254367 -0.615672 -0.023553 0.649890 0.000000
1.638137 2.744774 9.359372 1.412199 -1.062813 0.704193 0.000000
1.656272 2.767497 10.442335 1.218455 1.377343 -0.204406 0.000000
1.660006 2.749373 11.570190 -1.100604 0.854457 -1.165083 0.000000
1.653113 2.747335 12.621973 0.496361 -0.127180 -0.043514 0.000000
1.631917 2.761993 13.737836 0.524538 0.092049 -0.291326 0.000000
1.656145 2.742991 14.840182 1.161114 -0.249607 -1.320430 0.000000
1.653995 2.744942 15.957418 1.103475 0.281397 1.702663 0.000000
2.756988 2.753382 0.555330 -1.755610 -0.315529 1.040167 0.000000
2.755531 2.755013 1.662044 -0.604736 0.557528 0.859310 0.000000
2.735412 2.752993 2.756455 -0.071796 0.829378 1.085647 0.000000
2.762781 2.760307 3.862318 1.548417 -2.344917 -0.365718 0.000000
2.745933 2.745359 4.944982 1.298345 -0.167448 0.547884 0.000000
2.730225 2.751457 6.058836 -0.291890 0.595115 -1.530909 0.000000
2.751843 2.760258 7.159110 0.216441 1.192864 -0.299156 0.000000
2.743190 2.737770 8.248558 0.344152 1.170337 0.852800 0.000000
2.751755 2.750637 9.338582 -0.534995 -0.388349 -1.065489 0.000000
2.754316 2.742965 10.457081 0.906697 -1.574616 -1.373458 0.000000
2.764319 2.744144 11.546114 1.388905 0.043303 0.351775 0.000000
2.744948 2.754405 12.642951 0.515665 -0.040056 0.337833 0.000000
2.751719 2.744666 13.734711 -1.347086 2.164294 -0.055681 0.000000
2.754941 2.736040 14.845892 -0.630535 -1.986211 0.329707 0.000000
2.751427 2.753162 15.947755 -0.884619 -1.318019 0.065150 0.000000
135
x y z vx vy vz KE
0.562433 0.540183 0.550357 0.543532 -1.207631 -0.539575 183.338248
0.543404 0.549533 1.666500 -0.770140 -0.464668 1.370400 183.338248
0.532848 0.547715 2.746840 -1.168600 -0.123122 0.125614 183.338248
0.534326 0.531078 3.832272 -0.862798 -0.992856 -0.708828 183.338248
0.551125 0.564139 4.936050 0.967277 1.606020 -0.427210 183.338248
0.559510 0.559161 6.042195 0.528740 1.952851 -0.516684 183.338248
0.572714 0.543227 7.142122 2.492212 -0.898246 -1.639505 183.338248
0.557463 0.546009 8.249877 1.024493 -0.924168 -0.335907 183.338248
0.545269 0.562848 9.349589 -0.875870 -0.077012 -0.270122 183.338248
0.569926 0.541291 10.422419 1.166850 -0.431131 -1.278725 183.338248
0.548754 0.530663 11.569695 -0.260027 -0.984624 2.182921 183.338248
0.543885 0.542923 12.633188 -0.391682 -0.112282 -2.169920 183.338248
0.535626 0.526768 13.740569 -0.441638 -0.732364 0.789503 183.338248
0.550524 0.518283 14.824913 -0.976838 -1.558220 0.178658 183.338248
0.546385 0.560878 15.947103 -1.126225 1.056134 -0.620218 183.338248
1.675418 0.536995 0.547819 0.101404 -0.375412 -0.163336 183.338248
